2023-03-12 20:31:34,064 [INFO   ] [APP] exchange started with arguments={rtg.py, run, trader-2}
2023-03-12 20:31:34,065 [INFO   ] [APP] configuration={"Engine":{"MarketDataFile":"data/market_data1.csv","MarketEventInterval":0.05,"MarketOpenDelay":5.0,"MatchEventsFile":"match_events.csv","ScoreBoardFile":"score_board.csv","Speed":1.0,"TickInterval":0.25},"Execution":{"Host":"127.0.0.1","Port":12345},"Fees":{"Maker":-0.0001,"Taker":0.0002},"Hud":{"Host":"127.0.0.1","Port":12347},"Information":{"Type":"mmap","Name":"info.dat"},"Instrument":{"EtfClamp":0.002,"TickSize":1.0},"Limits":{"ActiveOrderCountLimit":10,"ActiveVolumeLimit":200,"MessageFrequencyInterval":1.0,"MessageFrequencyLimit":50,"PositionLimit":100},"Traders":{"TraderOne":"secret","TraderTwo":"secret"}}
2023-03-12 20:31:34,065 [INFO   ] [CONTROLLER] starting the match
2023-03-12 20:31:34,065 [INFO   ] [EXECUTION] starting execution server: host=127.0.0.1 port=12345
2023-03-12 20:31:34,066 [INFO   ] [INFORMATION] starting information publisher: type=mmap name=info.dat
2023-03-12 20:31:34,077 [INFO   ] [HEADS_UP] starting heads-up display server: host=127.0.0.1 port=12347
2023-03-12 20:31:34,078 [INFO   ] [INFORMATION] information channel established
2023-03-12 20:31:36,646 [INFO   ] [CONNECTION] fd=25 connection established: peer=127.0.0.1:49775
2023-03-12 20:31:36,647 [INFO   ] [EXECUTION] fd=25 'TraderTwo' is ready!
2023-03-12 20:31:39,097 [INFO   ] [CONTROLLER] market open
2023-03-12 20:31:39,390 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=0.291605 client_order_id=1 message='price is not a multiple of tick size'
2023-03-12 20:31:39,416 [ERROR  ] [CONNECTION] fd=25 connection lost:
Traceback (most recent call last):
  File "/Users/billy/opt/anaconda3/lib/python3.9/asyncio/selector_events.py", line 856, in _read_ready__data_received
    data = self._sock.recv(self.max_size)
ConnectionResetError: [Errno 54] Connection reset by peer
2023-03-12 20:31:39,458 [WARNING] [EXECUTION] fd=25 lost connection to auto-trader:
Traceback (most recent call last):
  File "/Users/billy/opt/anaconda3/lib/python3.9/asyncio/selector_events.py", line 856, in _read_ready__data_received
    data = self._sock.recv(self.max_size)
ConnectionResetError: [Errno 54] Connection reset by peer
2023-03-12 20:31:39,566 [INFO   ] [TIMER] shutting down the match: time=0.466794 reason='no remaining competitors'
2023-03-12 20:31:39,567 [INFO   ] [SCORE_BOARD] writer thread complete after processing 4 score records
2023-03-12 20:31:39,567 [INFO   ] [MATCH_EVENTS] writer thread complete after processing 231 match events
2023-03-12 20:31:39,567 [INFO   ] [APP] closing event loop
2023-03-12 20:34:30,148 [INFO   ] [APP] exchange started with arguments={rtg.py, run, trader-2}
2023-03-12 20:34:30,149 [INFO   ] [APP] configuration={"Engine":{"MarketDataFile":"data/market_data1.csv","MarketEventInterval":0.05,"MarketOpenDelay":5.0,"MatchEventsFile":"match_events.csv","ScoreBoardFile":"score_board.csv","Speed":1.0,"TickInterval":0.25},"Execution":{"Host":"127.0.0.1","Port":12345},"Fees":{"Maker":-0.0001,"Taker":0.0002},"Hud":{"Host":"127.0.0.1","Port":12347},"Information":{"Type":"mmap","Name":"info.dat"},"Instrument":{"EtfClamp":0.002,"TickSize":1.0},"Limits":{"ActiveOrderCountLimit":10,"ActiveVolumeLimit":200,"MessageFrequencyInterval":1.0,"MessageFrequencyLimit":50,"PositionLimit":100},"Traders":{"TraderOne":"secret","TraderTwo":"secret"}}
2023-03-12 20:34:30,150 [INFO   ] [CONTROLLER] starting the match
2023-03-12 20:34:30,150 [INFO   ] [EXECUTION] starting execution server: host=127.0.0.1 port=12345
2023-03-12 20:34:30,150 [INFO   ] [INFORMATION] starting information publisher: type=mmap name=info.dat
2023-03-12 20:34:30,159 [INFO   ] [HEADS_UP] starting heads-up display server: host=127.0.0.1 port=12347
2023-03-12 20:34:30,159 [INFO   ] [INFORMATION] information channel established
2023-03-12 20:34:33,049 [INFO   ] [CONNECTION] fd=25 connection established: peer=127.0.0.1:49810
2023-03-12 20:34:33,050 [INFO   ] [EXECUTION] fd=25 'TraderTwo' is ready!
2023-03-12 20:34:34,347 [INFO   ] [CONNECTION] fd=26 connection established: peer=127.0.0.1:49811
2023-03-12 20:34:35,178 [INFO   ] [CONTROLLER] market open
2023-03-12 20:34:35,198 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=0.020168 client_order_id=1 message='price is not a multiple of tick size'
2023-03-12 20:34:35,199 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=0.020560 client_order_id=2 message='price is not a multiple of tick size'
2023-03-12 20:34:35,414 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=0.233723 client_order_id=3 message='price is not a multiple of tick size'
2023-03-12 20:34:35,414 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=0.235703 client_order_id=4 message='price is not a multiple of tick size'
2023-03-12 20:34:35,708 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=0.526402 client_order_id=5 message='price is not a multiple of tick size'
2023-03-12 20:34:35,713 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=0.529661 client_order_id=6 message='price is not a multiple of tick size'
2023-03-12 20:34:36,242 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=1.063739 client_order_id=10 message='price is not a multiple of tick size'
2023-03-12 20:34:36,242 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=1.063973 client_order_id=11 message='price is not a multiple of tick size'
2023-03-12 20:34:36,463 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=1.284622 client_order_id=12 message='price is not a multiple of tick size'
2023-03-12 20:34:36,464 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=1.285268 client_order_id=13 message='price is not a multiple of tick size'
2023-03-12 20:34:36,655 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=1.473061 client_order_id=14 message='price is not a multiple of tick size'
2023-03-12 20:34:36,656 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=1.477243 client_order_id=15 message='price is not a multiple of tick size'
2023-03-12 20:34:37,152 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=1.973671 client_order_id=18 message='price is not a multiple of tick size'
2023-03-12 20:34:37,152 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=1.973954 client_order_id=19 message='price is not a multiple of tick size'
2023-03-12 20:34:37,416 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=2.236930 client_order_id=20 message='price is not a multiple of tick size'
2023-03-12 20:34:37,417 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=2.238316 client_order_id=21 message='price is not a multiple of tick size'
2023-03-12 20:34:37,660 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=2.480989 client_order_id=22 message='price is not a multiple of tick size'
2023-03-12 20:34:37,660 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=2.481538 client_order_id=23 message='price is not a multiple of tick size'
2023-03-12 20:34:37,981 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=2.802858 client_order_id=24 message='price is not a multiple of tick size'
2023-03-12 20:34:37,981 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=2.803151 client_order_id=25 message='price is not a multiple of tick size'
2023-03-12 20:34:38,163 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=2.984738 client_order_id=26 message='price is not a multiple of tick size'
2023-03-12 20:34:38,163 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=2.985080 client_order_id=27 message='price is not a multiple of tick size'
2023-03-12 20:34:38,410 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=3.226211 client_order_id=28 message='price is not a multiple of tick size'
2023-03-12 20:34:38,411 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=3.232411 client_order_id=29 message='price is not a multiple of tick size'
2023-03-12 20:34:38,672 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=3.493485 client_order_id=30 message='price is not a multiple of tick size'
2023-03-12 20:34:38,672 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=3.493826 client_order_id=31 message='price is not a multiple of tick size'
2023-03-12 20:34:38,905 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=3.726047 client_order_id=32 message='price is not a multiple of tick size'
2023-03-12 20:34:38,905 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=3.726619 client_order_id=33 message='price is not a multiple of tick size'
2023-03-12 20:34:39,171 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=3.991845 client_order_id=34 message='price is not a multiple of tick size'
2023-03-12 20:34:39,171 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=3.992510 client_order_id=35 message='price is not a multiple of tick size'
2023-03-12 20:34:39,462 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=4.283539 client_order_id=36 message='price is not a multiple of tick size'
2023-03-12 20:34:39,464 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=4.285313 client_order_id=37 message='price is not a multiple of tick size'
2023-03-12 20:34:39,702 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=4.522875 client_order_id=38 message='price is not a multiple of tick size'
2023-03-12 20:34:39,703 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=4.524136 client_order_id=39 message='price is not a multiple of tick size'
2023-03-12 20:34:39,923 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=4.741369 client_order_id=40 message='price is not a multiple of tick size'
2023-03-12 20:34:39,923 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=4.744627 client_order_id=41 message='price is not a multiple of tick size'
2023-03-12 20:34:40,179 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=4.988462 client_order_id=42 message='price is not a multiple of tick size'
2023-03-12 20:34:40,181 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=5.001052 client_order_id=43 message='price is not a multiple of tick size'
2023-03-12 20:34:40,496 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=5.316484 client_order_id=44 message='price is not a multiple of tick size'
2023-03-12 20:34:40,497 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=5.318219 client_order_id=45 message='price is not a multiple of tick size'
2023-03-12 20:34:40,711 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=5.532379 client_order_id=46 message='price is not a multiple of tick size'
2023-03-12 20:34:40,711 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=5.532663 client_order_id=47 message='price is not a multiple of tick size'
2023-03-12 20:34:41,206 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=6.023927 client_order_id=48 message='price is not a multiple of tick size'
2023-03-12 20:34:41,216 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=6.028013 client_order_id=49 message='price is not a multiple of tick size'
2023-03-12 20:34:41,492 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=6.312526 client_order_id=50 message='price is not a multiple of tick size'
2023-03-12 20:34:41,493 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=6.314346 client_order_id=51 message='price is not a multiple of tick size'
2023-03-12 20:34:41,694 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=6.515575 client_order_id=52 message='price is not a multiple of tick size'
2023-03-12 20:34:41,695 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=6.516371 client_order_id=53 message='price is not a multiple of tick size'
2023-03-12 20:34:41,966 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=6.786751 client_order_id=54 message='price is not a multiple of tick size'
2023-03-12 20:34:41,966 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=6.787999 client_order_id=55 message='price is not a multiple of tick size'
2023-03-12 20:34:42,201 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=7.023093 client_order_id=56 message='price is not a multiple of tick size'
2023-03-12 20:34:42,202 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=7.023892 client_order_id=57 message='price is not a multiple of tick size'
2023-03-12 20:34:42,438 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=7.258043 client_order_id=58 message='price is not a multiple of tick size'
2023-03-12 20:34:42,438 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=7.259850 client_order_id=59 message='price is not a multiple of tick size'
2023-03-12 20:34:42,674 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=7.495134 client_order_id=60 message='price is not a multiple of tick size'
2023-03-12 20:34:42,675 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=7.496269 client_order_id=61 message='price is not a multiple of tick size'
2023-03-12 20:34:42,974 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=7.794879 client_order_id=62 message='price is not a multiple of tick size'
2023-03-12 20:34:42,974 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=7.795762 client_order_id=63 message='price is not a multiple of tick size'
2023-03-12 20:34:43,150 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=7.972082 client_order_id=64 message='price is not a multiple of tick size'
2023-03-12 20:34:43,151 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=7.972374 client_order_id=65 message='price is not a multiple of tick size'
2023-03-12 20:34:43,478 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=8.296137 client_order_id=66 message='price is not a multiple of tick size'
2023-03-12 20:34:43,479 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=8.300396 client_order_id=67 message='price is not a multiple of tick size'
2023-03-12 20:34:43,673 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=8.494910 client_order_id=68 message='price is not a multiple of tick size'
2023-03-12 20:34:43,673 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=8.495181 client_order_id=69 message='price is not a multiple of tick size'
2023-03-12 20:34:43,905 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=8.724672 client_order_id=70 message='price is not a multiple of tick size'
2023-03-12 20:34:43,967 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=8.785484 client_order_id=71 message='price is not a multiple of tick size'
2023-03-12 20:34:44,158 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=8.979029 client_order_id=72 message='price is not a multiple of tick size'
2023-03-12 20:34:44,158 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=8.979849 client_order_id=73 message='price is not a multiple of tick size'
2023-03-12 20:34:44,490 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=9.311928 client_order_id=74 message='price is not a multiple of tick size'
2023-03-12 20:34:44,491 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=9.312605 client_order_id=75 message='price is not a multiple of tick size'
2023-03-12 20:34:44,716 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=9.536405 client_order_id=76 message='price is not a multiple of tick size'
2023-03-12 20:34:44,716 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=9.538076 client_order_id=77 message='price is not a multiple of tick size'
2023-03-12 20:34:44,996 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=9.817264 client_order_id=78 message='price is not a multiple of tick size'
2023-03-12 20:34:44,996 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=9.817765 client_order_id=79 message='price is not a multiple of tick size'
2023-03-12 20:34:45,229 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=10.051079 client_order_id=80 message='price is not a multiple of tick size'
2023-03-12 20:34:45,230 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=10.051566 client_order_id=81 message='price is not a multiple of tick size'
2023-03-12 20:34:45,418 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=10.240063 client_order_id=82 message='price is not a multiple of tick size'
2023-03-12 20:34:45,419 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=10.240494 client_order_id=83 message='price is not a multiple of tick size'
2023-03-12 20:34:45,711 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=10.530000 client_order_id=84 message='price is not a multiple of tick size'
2023-03-12 20:34:45,712 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=10.533398 client_order_id=85 message='price is not a multiple of tick size'
2023-03-12 20:34:45,969 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=10.788430 client_order_id=86 message='price is not a multiple of tick size'
2023-03-12 20:34:45,969 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=10.790661 client_order_id=87 message='price is not a multiple of tick size'
2023-03-12 20:34:46,193 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=11.013884 client_order_id=88 message='price is not a multiple of tick size'
2023-03-12 20:34:46,193 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=11.014759 client_order_id=89 message='price is not a multiple of tick size'
2023-03-12 20:34:46,471 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=11.292318 client_order_id=90 message='price is not a multiple of tick size'
2023-03-12 20:34:46,471 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=11.293153 client_order_id=91 message='price is not a multiple of tick size'
2023-03-12 20:34:46,735 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=11.556442 client_order_id=92 message='price is not a multiple of tick size'
2023-03-12 20:34:46,735 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=11.557027 client_order_id=93 message='price is not a multiple of tick size'
2023-03-12 20:34:46,979 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=11.800710 client_order_id=94 message='price is not a multiple of tick size'
2023-03-12 20:34:46,979 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=11.801057 client_order_id=95 message='price is not a multiple of tick size'
2023-03-12 20:34:47,216 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=12.002221 client_order_id=96 message='price is not a multiple of tick size'
2023-03-12 20:34:47,218 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=12.039661 client_order_id=97 message='price is not a multiple of tick size'
2023-03-12 20:34:47,678 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=12.499208 client_order_id=98 message='price is not a multiple of tick size'
2023-03-12 20:34:47,678 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=12.499584 client_order_id=99 message='price is not a multiple of tick size'
2023-03-12 20:34:47,691 [INFO   ] [APP] SIGTERM signal received - shutting down...
2023-03-12 20:34:47,692 [INFO   ] [APP] closing event loop
2023-03-12 20:35:44,807 [INFO   ] [APP] exchange started with arguments={rtg.py, run, trader-2}
2023-03-12 20:35:44,808 [INFO   ] [APP] configuration={"Engine":{"MarketDataFile":"data/market_data1.csv","MarketEventInterval":0.05,"MarketOpenDelay":5.0,"MatchEventsFile":"match_events.csv","ScoreBoardFile":"score_board.csv","Speed":1.0,"TickInterval":0.25},"Execution":{"Host":"127.0.0.1","Port":12345},"Fees":{"Maker":-0.0001,"Taker":0.0002},"Hud":{"Host":"127.0.0.1","Port":12347},"Information":{"Type":"mmap","Name":"info.dat"},"Instrument":{"EtfClamp":0.002,"TickSize":1.0},"Limits":{"ActiveOrderCountLimit":10,"ActiveVolumeLimit":200,"MessageFrequencyInterval":1.0,"MessageFrequencyLimit":50,"PositionLimit":100},"Traders":{"TraderOne":"secret","TraderTwo":"secret"}}
2023-03-12 20:35:44,810 [INFO   ] [CONTROLLER] starting the match
2023-03-12 20:35:44,810 [INFO   ] [EXECUTION] starting execution server: host=127.0.0.1 port=12345
2023-03-12 20:35:44,811 [INFO   ] [INFORMATION] starting information publisher: type=mmap name=info.dat
2023-03-12 20:35:44,845 [INFO   ] [HEADS_UP] starting heads-up display server: host=127.0.0.1 port=12347
2023-03-12 20:35:44,846 [INFO   ] [INFORMATION] information channel established
2023-03-12 20:35:45,100 [INFO   ] [CONNECTION] fd=25 connection established: peer=127.0.0.1:49857
2023-03-12 20:35:45,101 [INFO   ] [EXECUTION] fd=25 'TraderTwo' is ready!
2023-03-12 20:35:46,513 [INFO   ] [CONNECTION] fd=26 connection established: peer=127.0.0.1:49858
2023-03-12 20:35:49,899 [INFO   ] [CONTROLLER] market open
2023-03-12 20:35:49,927 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=0.027256 client_order_id=1 message='price is not a multiple of tick size'
2023-03-12 20:35:49,927 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=0.027917 client_order_id=2 message='price is not a multiple of tick size'
2023-03-12 20:35:50,166 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=0.264547 client_order_id=3 message='price is not a multiple of tick size'
2023-03-12 20:35:50,167 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=0.267669 client_order_id=4 message='price is not a multiple of tick size'
2023-03-12 20:35:50,376 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=0.475992 client_order_id=5 message='price is not a multiple of tick size'
2023-03-12 20:35:50,376 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=0.477251 client_order_id=6 message='price is not a multiple of tick size'
2023-03-12 20:35:50,710 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=0.809249 client_order_id=7 message='price is not a multiple of tick size'
2023-03-12 20:35:50,710 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=0.811280 client_order_id=8 message='price is not a multiple of tick size'
2023-03-12 20:35:50,958 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=1.058466 client_order_id=9 message='price is not a multiple of tick size'
2023-03-12 20:35:50,958 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=1.059166 client_order_id=10 message='price is not a multiple of tick size'
2023-03-12 20:35:51,225 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=1.325298 client_order_id=11 message='price is not a multiple of tick size'
2023-03-12 20:35:51,225 [INFO   ] [COMPETITOR] 'TraderTwo' sent error message: time=1.326258 client_order_id=12 message='price is not a multiple of tick size'
