2023-03-19 12:10:18.455802 [INFO   ] [APP] application started
2023-03-19 12:10:18.456369 [INFO   ] [APP] loading configuration from 'trader-3.json'
2023-03-19 12:10:18.457413 [INFO   ] [CON] connecting to: 127.0.0.1:12345
2023-03-19 12:10:18.457649 [INFO   ] [CON] connected successfully to: 127.0.0.1:12345
2023-03-19 12:10:18.457721 [INFO   ] [BASE] logging in with teamname='TraderThree' and secret='secret'
2023-03-19 12:10:23.418836 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 127700; bid volumes: 1
2023-03-19 12:10:23.758520 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 126600; bid volumes: 37
2023-03-19 12:10:23.828024 [INFO   ] [AUTO] order 7 filled for 20 lots at $126600 cents
2023-03-19 12:10:23.828140 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 126600; bid volumes: 20
2023-03-19 12:10:23.829259 [INFO   ] [AUTO] hedge order 8 filled for 20 lots at $126700 average price in cents
2023-03-19 12:10:24.473053 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 126700; ask volumes: 2000; bid prices: 0; bid volumes: 0
2023-03-19 12:10:24.679712 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 126800; ask volumes: 1860; bid prices: 0; bid volumes: 0
2023-03-19 12:10:25.864386 [INFO   ] [AUTO] order 10 filled for 20 lots at $127400 cents
2023-03-19 12:10:25.870665 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 127400; ask volumes: 20; bid prices: 0; bid volumes: 0
2023-03-19 12:10:25.870715 [INFO   ] [AUTO] hedge order 16 filled for 20 lots at $127400 average price in cents
2023-03-19 12:10:26.121398 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 127400; ask volumes: 2000; bid prices: 0; bid volumes: 0
2023-03-19 12:10:26.220964 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 127300; bid volumes: 2980
2023-03-19 12:10:26.292715 [INFO   ] [AUTO] order 17 filled for 25 lots at $127400 cents
2023-03-19 12:10:26.293167 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 127200; bid volumes: 4160
2023-03-19 12:10:26.293215 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 127400; bid volumes: 25
2023-03-19 12:10:26.294359 [INFO   ] [AUTO] hedge order 18 filled for 25 lots at $127300 average price in cents
2023-03-19 12:10:26.770347 [INFO   ] [AUTO] order 11 filled for 7 lots at $127500 cents
2023-03-19 12:10:26.770615 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 127500; ask volumes: 7; bid prices: 0; bid volumes: 0
2023-03-19 12:10:26.770870 [INFO   ] [AUTO] hedge order 21 filled for 7 lots at $127500 average price in cents
2023-03-19 12:10:26.819816 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 127400; bid volumes: 330
2023-03-19 12:10:27.359427 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 127600; ask volumes: 2360; bid prices: 0; bid volumes: 0
2023-03-19 12:10:27.795917 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 127700; bid volumes: 1000
2023-03-19 12:10:28.435231 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 128000; bid volumes: 1000
2023-03-19 12:10:28.700020 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 128000; bid volumes: 1000
2023-03-19 12:10:29.704010 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 127200; bid volumes: 149
2023-03-19 12:10:29.821288 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 127800; bid volumes: 2000
2023-03-19 12:10:30.107472 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 127800; ask volumes: 11; bid prices: 0; bid volumes: 0
2023-03-19 12:10:30.316414 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 127600; bid volumes: 1000
2023-03-19 12:10:30.552948 [INFO   ] [AUTO] error with order 27: order rejected: active order volume limit breached
2023-03-19 12:10:30.799193 [INFO   ] [AUTO] error with order 28: order rejected: active order volume limit breached
2023-03-19 12:10:31.038588 [INFO   ] [AUTO] error with order 29: order rejected: active order volume limit breached
2023-03-19 12:10:31.264911 [INFO   ] [AUTO] error with order 30: order rejected: active order volume limit breached
2023-03-19 12:10:31.488016 [INFO   ] [AUTO] error with order 31: order rejected: active order volume limit breached
2023-03-19 12:10:31.611352 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 127400; bid volumes: 2000
2023-03-19 12:10:31.803726 [INFO   ] [AUTO] error with order 32: order rejected: active order volume limit breached
2023-03-19 12:10:32.025819 [INFO   ] [AUTO] error with order 33: order rejected: active order volume limit breached
2023-03-19 12:10:32.238445 [INFO   ] [AUTO] error with order 34: order rejected: active order volume limit breached
2023-03-19 12:10:32.416517 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 127800; ask volumes: 1000; bid prices: 0; bid volumes: 0
2023-03-19 12:10:32.533864 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 127200; ask volumes: 43; bid prices: 0; bid volumes: 0
2023-03-19 12:10:32.533991 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 127800; ask volumes: 750; bid prices: 0; bid volumes: 0
2023-03-19 12:10:32.552185 [INFO   ] [AUTO] error with order 35: order rejected: active order volume limit breached
2023-03-19 12:10:32.761858 [INFO   ] [AUTO] error with order 36: order rejected: active order volume limit breached
2023-03-19 12:10:32.977101 [INFO   ] [AUTO] order 20 filled for 20 lots at $127000 cents
2023-03-19 12:10:32.978083 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 127000; bid volumes: 107
2023-03-19 12:10:32.978127 [INFO   ] [AUTO] hedge order 37 filled for 20 lots at $127600 average price in cents
2023-03-19 12:10:33.008409 [INFO   ] [AUTO] error with order 38: order rejected: active order volume limit breached
2023-03-19 12:10:33.111663 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 127600; bid volumes: 1000
2023-03-19 12:10:33.302699 [INFO   ] [AUTO] error with order 39: order rejected: active order volume limit breached
2023-03-19 12:10:33.408127 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 127000; bid volumes: 31
2023-03-19 12:10:33.501819 [INFO   ] [AUTO] error with order 40: order rejected: active order volume limit breached
2023-03-19 12:10:33.720979 [INFO   ] [AUTO] error with order 41: order rejected: active order volume limit breached
2023-03-19 12:10:33.756895 [INFO   ] [AUTO] order 19 filled for 14 lots at $126900 cents
2023-03-19 12:10:33.757100 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 126900; bid volumes: 14
2023-03-19 12:10:33.757359 [INFO   ] [AUTO] hedge order 42 filled for 14 lots at $127400 average price in cents
2023-03-19 12:10:33.997805 [INFO   ] [AUTO] order 43 filled for 43 lots at $127300 cents
2023-03-19 12:10:33.997919 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 127300; ask volumes: 43; bid prices: 0; bid volumes: 0
2023-03-19 12:10:33.998213 [INFO   ] [AUTO] hedge order 44 filled for 43 lots at $127500 average price in cents
2023-03-19 12:10:34.052269 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 127900; ask volumes: 12; bid prices: 0; bid volumes: 0
2023-03-19 12:10:34.117157 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 127500; bid volumes: 1000
2023-03-19 12:10:34.407158 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 127600; ask volumes: 1480; bid prices: 0; bid volumes: 0
2023-03-19 12:10:34.523399 [INFO   ] [AUTO] order 45 filled for 20 lots at $127800 cents
2023-03-19 12:10:34.529742 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 127800; ask volumes: 20; bid prices: 0; bid volumes: 0
2023-03-19 12:10:34.529795 [INFO   ] [AUTO] hedge order 46 filled for 20 lots at $127700 average price in cents
2023-03-19 12:10:35.772885 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 127600; ask volumes: 20; bid prices: 0; bid volumes: 0
2023-03-19 12:10:35.954810 [INFO   ] [AUTO] order 47 filled for 9 lots at $127700 cents
2023-03-19 12:10:35.954979 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 127700; ask volumes: 9; bid prices: 0; bid volumes: 0
2023-03-19 12:10:35.955543 [INFO   ] [AUTO] hedge order 49 filled for 9 lots at $127800 average price in cents
2023-03-19 12:10:36.801480 [INFO   ] [AUTO] order 47 filled for 11 lots at $127700 cents
2023-03-19 12:10:36.801657 [INFO   ] [AUTO] order 48 filled for 20 lots at $127800 cents
2023-03-19 12:10:36.803946 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 127700; ask volumes: 11; bid prices: 0; bid volumes: 0
2023-03-19 12:10:36.804156 [INFO   ] [AUTO] hedge order 50 filled for 11 lots at $127700 average price in cents
2023-03-19 12:10:36.804287 [INFO   ] [AUTO] hedge order 51 filled for 20 lots at $127700 average price in cents
2023-03-19 12:10:37.054735 [INFO   ] [AUTO] order 52 filled for 20 lots at $127900 cents
2023-03-19 12:10:37.055379 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 127900; ask volumes: 20; bid prices: 0; bid volumes: 0
2023-03-19 12:10:37.055680 [INFO   ] [AUTO] hedge order 53 filled for 20 lots at $127700 average price in cents
2023-03-19 12:10:37.399045 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 127600; ask volumes: 530; bid prices: 0; bid volumes: 0
2023-03-19 12:10:38.213208 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 127700; ask volumes: 30; bid prices: 0; bid volumes: 0
2023-03-19 12:10:38.501654 [INFO   ] [AUTO] order 26 filled for 12 lots at $128300 cents
2023-03-19 12:10:38.501818 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 128300; ask volumes: 12; bid prices: 0; bid volumes: 0
2023-03-19 12:10:38.501976 [INFO   ] [AUTO] hedge order 55 filled for 12 lots at $127800 average price in cents
2023-03-19 12:10:40.006773 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 128100; ask volumes: 87; bid prices: 0; bid volumes: 0
2023-03-19 12:10:40.693974 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 127700; ask volumes: 1000; bid prices: 0; bid volumes: 0
2023-03-19 12:10:41.215227 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 127800; ask volumes: 100; bid prices: 127800; bid volumes: 1000
2023-03-19 12:10:41.237504 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 127800; bid volumes: 1000
2023-03-19 12:10:41.619585 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 128300; ask volumes: 1000; bid prices: 0; bid volumes: 0
2023-03-19 12:10:41.676815 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 128200; bid volumes: 3070
2023-03-19 12:10:41.731195 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 128000; ask volumes: 490; bid prices: 0; bid volumes: 0
2023-03-19 12:10:41.731277 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 127500; bid volumes: 68
2023-03-19 12:10:44.314414 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 128100; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-19 12:10:45.150494 [INFO   ] [AUTO] order 26 filled for 2 lots at $128300 cents
2023-03-19 12:10:45.155656 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 128300; ask volumes: 2; bid prices: 0; bid volumes: 0
2023-03-19 12:10:45.178924 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 127600; bid volumes: 40
2023-03-19 12:10:45.180628 [INFO   ] [AUTO] hedge order 57 filled for 2 lots at $128300 average price in cents
2023-03-19 12:10:46.506164 [INFO   ] [AUTO] error with order 58: order rejected: active order count limit breached
2023-03-19 12:10:46.617672 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 127800; bid volumes: 1750
2023-03-19 12:10:46.751205 [INFO   ] [AUTO] error with order 59: order rejected: active order count limit breached
2023-03-19 12:10:46.854365 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 128200; bid volumes: 21
